delta_longi,sst,atms,u10,v10
0,-67.391,30.883,-1.5,-1.75
0,-78.119,50.749,-1.25,-1.5
-0.1,-65.006,37.505,-1.25,-1.5
0.2,-44.74,24.997,-1.25,-1.5
-0.3,-33.298,10.569,-1,-1.25
0,-57.583,11.398,-1,-1.25
-0.2,-56.944,-11.822,-1,-1.25
0,-30.742,-1.87,-0.75,-1
-0.3,-60.14,-50.798,-0.75,-1
0,-24.898,-16.842,-0.5,-0.75
-0.4,-25.683,-17.889,-0.5,-0.75
-0.1,-2.131,-1.652,-0.25,-0.5
-0.3,-10.767,26.632,0,-0.25
-0.1,-47.778,50.926,0,-0.25
-0.3,-60.392,48.302,0,-0.25
-0.2,-65.438,36.494,0,-0.25
0,-89.352,36.546,0,-0.25
-0.3,-107.9,31.235,0,-0.25
0,-90.898,-3.581,0,-0.25
-0.1,-95.02,8.221,0,-0.25
0.6,-86.261,4.091,0,-0.25
-0.9,-94.505,-5.941,0,-0.25
-0.1,-98.626,15.893,0.25,0
-0.1,-85.231,18.253,0.25,0
-0.1,-141.399,11.273,0.25,0
-0.2,-179.518,19.374,0.25,0
0.4,-164.391,15.593,0.25,0
0,-171.652,10.732,0.25,0
-0.6,-171.652,-7.091,0,-0.25
-0.2,-187.989,-15.193,0,-0.25
-0.1,-145.029,23.695,0,-0.25
102.9,-171.652,24.235,0,-0.25
-103,-161.94,28.28,0,-0.25
-0.3,-151.154,35.433,0,-0.25
0,-134.205,22.319,0,-0.25
-0.1,-122.649,13.974,0,-0.25
-0.1,-140.369,13.974,0,-0.25
-0.6,-196.609,28.876,0,-0.25
-0.2,-107.99,-5.218,0.25,0
0,-132.817,-0.166,0.25,0
-0.3,-147.559,-2.692,0.25,0
-0.1,-63.766,1.096,0.25,0
-0.1,-55.517,-0.065,0.5,0.25
0,-51.297,-1.37,0.5,0.25
-0.3,-62.9,-1.37,0.5,0.25
-0.1,-34.421,-3.979,0.5,0.25
-0.1,-48.133,12.981,0.5,0.25
-0.3,-61.845,25.375,0.75,0.5
-0.1,-85.05,-7.893,0.75,0.5
-0.1,-90.03,13.447,0.75,0.5
-0.1,-86.377,25.324,0.75,0.5
-0.3,-74.202,24.625,0.75,0.5
-0.2,-79.072,13.447,0.75,0.5
0,-91.248,8.556,1,0.75
-0.3,-102.206,9.255,1,0.75
0,-96.118,26.022,1,0.75
-0.1,-108.08,30.943,1,0.75
-0.1,-102.77,14.082,1,0.75
-0.4,-94.804,11.488,1,0.75
-0.1,-66.481,10.839,1,0.75
-0.2,-80.642,17.324,1,0.75
-0.1,-71.792,14.082,1.25,1
-0.3,-70.115,14.025,1.25,1
-0.1,-87.543,26.682,1.5,1.25
0,-79.244,21.936,1.5,1.25
-0.1,-114.102,21.936,1.5,1.25
-0.2,-143.149,16.398,1.5,1.25
-0.1,-129.87,15.607,1.5,1.25
-0.1,-116.677,8.407,1.5,1.25
0,-133.361,18.844,1.75,1.5
0.6,-152.682,29.281,1.75,1.5
-0.9,-117.555,32.351,1.75,1.5
-0.1,-131.605,34.806,1.75,1.5
0,-181.66,39.718,1.75,1.5
-0.2,-194.833,49.541,2,1.75
-0.1,-237.862,99.271,2,1.75
-0.1,-222.934,91.289,2,1.75
0,-237.687,79.075,2,1.75
-0.2,-284.615,93.756,2.25,2
-0.1,-229.864,90.086,2.25,2
-0.1,-220.088,115.165,2.25,2
0,-246.485,138.41,2.25,2
-0.2,-244.53,118.224,2.25,2
-0.1,-184.891,98.65,2.5,2.25
-0.1,-125.327,38.523,2.5,2.25
-0.3,-133.995,26.336,2.5,2.25
-0.1,-145.914,39.24,2.75,2.5
-0.2,-142.664,27.77,2.75,2.5
0,-88.488,24.902,2.75,2.5
-0.3,-96.727,19.926,2.75,2.5
0.1,-110.931,-16.605,3,2.75
-0.2,-121.397,-5.95,3,2.75
-0.1,-133.359,-2.906,3,2.75
-0.3,-150.553,2.422,3,2.75
0,-96.515,2.455,3,2.75
-0.3,-120.02,-10.109,3.25,3
0,-71.772,29.766,3.25,3
-0.2,-73.009,42.33,3.25,3
-0.1,-59.401,32.498,3.25,3
-0.1,-47.414,27.496,3.25,3
0,-36.883,25.061,3.25,3
-0.3,-46.662,21.814,3.5,3.25
0,-78.254,8.826,3.5,3.25
-0.1,-75.997,6.391,3.5,3.25
-0.1,-51.927,3.144,3.5,3.25
0,-53.707,-4.517,3.5,3.25
0,-68.894,-13.984,3.5,3.25
-0.2,-118.452,-26.831,3.5,3.25
0,-123.248,-26.831,3.5,3.25
-0.1,-124.847,-22.098,3.5,3.25
-0.1,-119.251,-45.764,3.5,3.25
0.2,-183.997,-47.793,3.5,3.25
-0.3,-189.568,-53.8,3.5,3.25
0.3,-251.212,-74.289,3.5,3.25
-0.6,-198.25,-58.528,3.5,3.25
0,-191.304,-57.74,3.5,3.25
-0.3,-164.389,-46.708,3.25,3
-0.2,-150.574,-14.174,3.25,3
0,-139.791,-14.174,3.25,3
0.1,-136.197,-21.411,3.25,3
-0.5,-149.676,-59.661,3,2.75
0,-191.011,-66.381,3,2.75
0.5,-162.256,-43.637,3,2.75
-0.8,-229.649,10.12,3,2.75
-0.1,-215.51,2.261,3,2.75
-0.1,-202.088,-28.669,2.75,2.5
-0.4,-240.776,-36.033,2.75,2.5
0,-254.988,-46.834,2.75,2.5
-0.4,-248.672,-32.106,2.75,2.5
0,-226.834,-43.486,2.5,2.25
-0.2,-227.744,-44.11,2.5,2.25
-0.1,-225.016,-8.526,2.5,2.25
-0.1,-189.554,7.081,2.5,2.25
-0.1,-185.917,41.416,2.5,2.25
-0.2,-177.734,45.161,2.5,2.25
0.5,-195.01,-5.405,2.5,2.25
-0.6,-190.554,-0.842,2.5,2.25
-0.3,-203.274,9.793,2.5,2.25
0,-274.066,96.999,2.5,2.25
-0.1,-207.699,111.888,2.5,2.25
-0.1,-277.384,131.031,2.5,2.25
-0.2,-275.725,139.539,2.5,2.25
-0.1,-191.107,101.253,2.5,2.25
-0.1,-160.037,38.925,2.75,2.5
0.5,-186.948,26.568,2.75,2.5
-0.8,-222.394,73.25,2.75,2.5
-0.3,-183.667,68.444,2.75,2.5
-0.1,-181.701,60.213,2.75,2.5
0,-203.145,41.952,2.75,2.5
-0.2,-251.394,34.226,3,2.75
0,-188.849,9.644,3,2.75
-0.1,-197.784,-0.189,3,2.75
0,-204.932,7.537,3,2.75
-0.1,-205.826,20.179,3,2.75
-0.1,-95.032,17.37,3.25,3
0,-97.077,14.648,3.25,3
0,-91.441,-10.081,3.25,3
-0.1,-99.492,-29.605,3.25,3
0.8,-173.564,-97.286,3.5,3.25
-0.9,-160.682,-69.302,3.5,3.25
0,-146.19,-44.573,3.5,3.25
116.9,-98.687,-37.414,3.5,3.25
-117,-96.272,-36.112,3.75,3.5
0,-116.999,-52.171,3.75,3.5
0,-122.396,-61.541,3.75,3.5
0,-137.688,-60.956,3.75,3.5
0,-210.549,-65.64,4,3.75
0,-154.779,-55.099,4,3.75
0,-124.195,-33.432,4,3.75
-0.1,-123.295,-28.161,4,3.75
0.1,-166.472,-41.045,4,3.75
-0.1,-136.158,4.688,4,3.75
0.1,-101.688,-33.049,4.25,4
0,-95.942,-29.275,4.25,4
0,-86.751,-37.766,4.25,4
0,-68.366,-79.278,4.25,4
0,-91.347,-100.977,4.25,4
0.1,-95.942,-90.599,4.25,4
0,-52.28,-66.069,4.25,4
0.1,-56.387,-18.533,4.25,4
0,-77.623,-35.531,4.25,4
0,-48.021,-69.528,4.25,4
0.8,-42.229,-67.567,4.25,4
0,-64.787,-28.403,4.25,4
-0.8,-76.396,-27.209,4.25,4
0,-56.08,-0.921,4.25,4
0,-40.117,-8.09,4.25,4
0,-57.531,-47.521,4.25,4
0.8,-69.14,-30.793,4.25,4
-0.9,-49.847,-27.339,4.25,4
0,-55.38,-29.852,4.25,4
